object_id,object_location,title,translated_title,object_location,language,creator,translator,article_type,subject,pdf_filename,description,DOI,year,issue,volume,first_page,last_page,season,issn,journal_title,publisher,rights,citation
c0001,pdf,Notes For An Emancipation Poem,,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Notes_for_an_Emancipation_poem.pdf,eng,Drisana Deborah Jack,,,Slavery ; Memory,Notes_for_an_Emancipation_poem.pdf,Poem on the topic of emancipation.,https://doi.org/10.33682/b5uk-gm43,2000-09,1,1,137,139,,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,
c0002,pdf,For Sisi,Vor Sisi,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Voor_Sisi_For_Sisi.pdf,eng; dut,Dorus Vrede,Hilda van Neck Yoder,,Homesickness,Voor_Sisi_For_Sisi.pdf,Poem.,https://doi.org/10.33682/3ebw-jjhk,2001,2,1,7,7,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,
c0003,pdf,Sweet Lianas,Lanes Douches,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Sweet_Lianas.pdf,eng; fre,Joseph Zobel,Christopher Winks,,Memory ; Nature,Sweet_Lianas.pdf,Bilingual French and English poem,https://doi.org/10.33682/5jps-dy9t,2001,2,1,13,13,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,
c0004,pdf,Next-Door Patient,Pashènt aki banda,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Next-door_Patient.pdf,,Nydia Ecury,,,Night,Next-door_Patient.pdf,Bilingual poem about a person who hears a stranger in pain through a wall.,https://doi.org/10.33682/9sn9-syy6,2001,2,1,62,62,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,
c0005,pdf,Redifining the Concept of God: A Review of Yván Silén's La Muerte De Mamá,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302076.pdf,eng,Maria Luisa Ruiz,,,"Silén, Iván",0302076.pdf,"Review of Iván Silén's novel, La Muerte De Mamá",https://doi.org/10.33682/zgc1-npm5,2005,2,3,76,79,Fall-Winter,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,
c0006,pdf,Six Poems About the Little Island of Mine,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302070.pdf,,Jina Ortiz,,,,0302070.pdf,,https://doi.org/10.33682/bwe6-1v8r,2005,2,3,,,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0007,pdf,Seis Poemas de mi Isla Pequeña,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302073.pdf,,Jina Ortiz,,,,0302073.pdf,,https://doi.org/10.33682/w0ke-x7ft,2005,2,3,,,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0008,pdf,Together,,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Together.pdf,,Gibi Bacilio,,,,Together.pdf,,https://doi.org/10.33682/309z-gwkv,2001,2,1,,,Spring-Summer 2001,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0009,pdf,City Blackout,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no1/pdf/0301087.pdf,,Peggy Garrison,,,,0301087.pdf,,https://doi.org/10.33682/casa-6009,2004,1,3,,,Fall-Spring 2004,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0010,pdf,Toda Isla Es Una Jaula (Every Island Is a Cage),,https://github.com/nyu-dss/calabash/tree/main/data/vol2no2/pdf/0202037.pdf,,Lila Díaz,,,,0202037.pdf,,https://doi.org/10.33682/pvyg-zcyw,2003,2,2,,,Summer-Fall 2003,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0011,pdf,Catedrales que Trinan,,https://github.com/nyu-dss/calabash/tree/main/data/vol2no2/pdf/0202038.pdf,,Rodrigo Rojas,,,,0202038.pdf,,https://doi.org/10.33682/crg2-vtxw,2003,2,2,,,Summer-Fall 2003,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0012,pdf,Una Resena De La Muerte De Mama De Yvan Silen,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302080.pdf,,Maria Luisa Ruiz,,,,0302080.pdf,,https://doi.org/10.33682/hvfb-0yra,2005,2,3,,,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0013,pdf,Return to Old Lombe,,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Return_To_Old_Lombe.pdf,,Dorus Vrede,,,,Return_To_Old_Lombe.pdf,,https://doi.org/10.33682/kvk9-9vaw,2001,2,1,,,Spring-Summer 2001,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0014,pdf,A Palace Of Mourners,,https://github.com/nyu-dss/calabash/tree/main/data/vol2no1/pdf/A_Palace_of_Mourners.pdf,,Patrick Sylvain,,,,A_Palace_of_Mourners.pdf,,https://doi.org/10.33682/fwkg-gh7n,2002,1,2,,,Fall 2002,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0015,pdf,Tur hende a papia un ko - African Curacoan Women,,https://github.com/nyu-dss/calabash/tree/main/data/vol2no1/pdf/Tur_hende_a_papia_un_ko.pdf,,Rose Mary Allen,,,,Tur_hende_a_papia_un_ko.pdf,,https://doi.org/10.33682/41xr-0qcy,2002,1,2,,,Fall 2002,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0016,pdf,Visual Journeys: The Art of Anna Ruth Henriques,,https://github.com/nyu-dss/calabash/tree/main/data/vol4no1/pdf/0401007.pdf,,Diana Cooper-Clark,,,,0401007.pdf,,https://doi.org/10.33682/r57m-kdjf,2006,1,4,,,Spring-Summer 2006,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0017,pdf,Exotic Beaches/Erotic Bodies: A Review of Oonya Kempadoo's Tide Running,,https://github.com/nyu-dss/calabash/tree/main/data/vol4no1/pdf/0401098.pdf,,Tiphanie Yanique Galiber,,,,0401098.pdf,,https://doi.org/10.33682/d9yy-pre4,2006,1,4,,,Spring-Summer 2006,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0018,pdf,In Conversation: Writing & Painting,,https://github.com/nyu-dss/calabash/tree/main/data/vol4no2/pdf/0402117.pdf,,Jacqueline Bishop,,,,0402117.pdf,,https://doi.org/10.33682/upkf-zj6j,2007,2,4,,,Spring-Summer 2007,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0019,pdf,The Art of Collaboration: An Interview with Kwame Dawes,,https://github.com/nyu-dss/calabash/tree/main/data/vol5no1/pdf/0501115.pdf,,Sassy Ross,,,,0501115.pdf,,https://doi.org/10.33682/6t04-qmb2,2008,1,5,,,Summer-Fall 2008,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
c0020,pdf,Book Review: Paradise Lost … and Found,,https://github.com/nyu-dss/calabash/tree/main/data/vol5no1/pdf/0501147.pdf,,Dolace McLean,,,,0501147.pdf,,https://doi.org/10.33682/fhq2-6h9r,2008,1,5,,,Summer-Fall 2008,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,`,,,,,,,,,,,,
