Article Title,Article Title Language,Translated Title,Translated Title Language,pdf_location,Language of Piece 1,Language of Piece 2 (if applicable),Author Last Name,Author First Name,Translator Last Name (if applicable),Translator First Name (if applicable),Genre,Subject,Controlled Vocabulary Used,Subject Identifier (LCSH),pdf_filename,Abstract,DOI,Year of Publication,Issue,Volume,First Page,Last Page,Season of Publication,ISSN,journaltitle,Publisher,Copyright,Citation
<article-title>,,<article-title>,,,<content-language>,<content-language>,<surname>,<given-name>,<surname>,<given-name>,<subject>,<kwd>,"<kwd=""LCSH"">","vocab id=""x""",<self-uri xlink:href=”url here”>,<abstract>,<article-id>,<year>,<issue>,<volume>,<fpage>,<lpage>,<season>,,,,<copyright-statement>,<element-citation>
Notes For An Emancipation Poem,eng,,,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Notes_for_an_Emancipation_poem.pdf,eng,,Jack,Drisana Deborah,,,Poetry,Slavery ; Memory ,LCSH,http://id.loc.gov/authorities/subjects/sh85123314 ; http://id.loc.gov/authorities/classification/PN1083.M4,Notes_for_an_Emancipation_poem.pdf,Poem on the topic of emancipation.,https://doi.org/10.33682/b5uk-gm43,2000-09,1,1,137,139,,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Jack, Drisana Deborah, Notes For An Emancipation Poem,2000"
For Sisi,eng,Vor Sisi,"dut, eng",https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Voor_Sisi_For_Sisi.pdf,eng,dut,Vrede,Dorus,van Neck Yoder,Hilda,Poetry,Homesickness ,LCSH,http://id.loc.gov/authorities/subjects/sh85061737,Voor_Sisi_For_Sisi.pdf,Poem.,https://doi.org/10.33682/3ebw-jjhk,2001,2,1,7,7,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Vrede, Dorus, For Sisi,2001"
Sweet Lianas,eng,Lanes Douches,fre,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Sweet_Lianas.pdf,eng,fre,Zobel,Joseph,Winks,Christopher,Poetry,Memory : Nature,LCSH,http://id.loc.gov/authorities/classification/PN1083.M4 ; http://id.loc.gov/authorities/subjects/sh85090277,Sweet_Lianas.pdf,Bilingual French and English poem,https://doi.org/10.33682/5jps-dy9t,2001,2,1,13,13,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Zobel, Joseph, Sweet Lianas,2001"
Next-Door Patient,eng,Pashènt aki banda,unknown,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Next-door_Patient.pdf,eng,unknown,Ecury,Nydia,,,Poetry,Night,LCSH,http://id.loc.gov/authorities/subjects/sh85091900,Next-door_Patient.pdf,Bilingual poem about a person who hears a stranger in pain through a wall.,https://doi.org/10.33682/9sn9-syy6,2001,2,1,62,62,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ecury, Nydia, Next-Door Patient,2001"
Redifining the Concept of God: A Review of Yván Silén's La Muerte De Mamá,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302076.pdf,eng,,Ruiz,Maria Luisa,,,Essay,Puerto Rican Literature ; Book Reviews,LCSH,http://id.loc.gov/authorities/subjects/sh85108927 ; http://id.loc.gov/authorities/subjects/sh99001470,0302076.pdf,"Review of Iván Silén's novel, La Muerte De Mamá",https://doi.org/10.33682/zgc1-npm5,2005,2,3,76,79,Fall-Winter,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ruiz, Maria Luisa, Redifining the Concept of God: A Review of Yván Silén's La Muerte De Mamá,2005"
Six Poems About the Little Island of Mine,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302070.pdf,eng,,Ortiz,Jina,,,Poetry,Poetry ; Emigration and Immigration,LCSH,http://id.loc.gov/authorities/subjects/sh85103704 ; http://id.loc.gov/authorities/subjects/sh85042782,0302070.pdf,Six poems relating to immigration and colonization.,https://doi.org/10.33682/bwe6-1v8r,2005,2,3,70,72,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ortiz, Jina, Six Poems About the Little Island of Mine,2005"
Seis Poemas de mi Isla Pequeña,spa,,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302073.pdf,spa,,Ortiz,Jina,,,Poetry,Poetry ; Emigration and Immigration,LCSH,http://id.loc.gov/authorities/subjects/sh85103704 ; http://id.loc.gov/authorities/subjects/sh85042782,http://id.loc.gov/authorities/subjects/sh85103704 ; http://id.loc.gov/authorities/subjects/sh85042782,"Six poems relating to immigration and colonization, in Spanish.",https://doi.org/10.33682/w0ke-x7ft,2005,2,3,73,75,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ortiz, Jina, Seis Poemas de mi Isla Pequeña,2005"
Together,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Together.pdf,eng,,Bacilio,Gibi,,,Poetry,Slavery,LCSH,http://id.loc.gov/authorities/subjects/sh85123314,Together.pdf,A poem about slavery and violence.,https://doi.org/10.33682/309z-gwkv,2001,2,1,84,86,Spring-Summer 2001,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Bacilio, Gibi, Together,2001"
City Blackout,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no1/pdf/0301087.pdf,eng,,Garrison,Peggy,,,Poetry,Electric power failures,LCSH,http://id.loc.gov/authorities/subjects/sh85041887,0301087.pdf,A poem about a blackout in New York CIty.,https://doi.org/10.33682/casa-6009,2004,1,3,87,87,Fall-Spring 2004,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Garrison, Peggy, City Blackout,2004"
Toda Isla Es Una Jaula ,spa,Every Island Is a Cage,eng,https://github.com/nyu-dss/calabash/tree/main/data/vol2no2/pdf/0202037.pdf,spa,eng,Díaz,Lila,Rojas,Rodrigo,Poetry,Colonization,LCSH,http://id.loc.gov/authorities/subjects/sh85028571,0202037.pdf,A poem in English and Spanish about colonization.,https://doi.org/10.33682/pvyg-zcyw,2003,2,2,37,37,Summer-Fall 2003,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Díaz, Lila, Toda Isla Es Una Jaula ,2003"
Catedrales que Trinan,spa,Chirping Cathedrals,eng,https://github.com/nyu-dss/calabash/tree/main/data/vol2no2/pdf/0202038.pdf,spa,eng,Rojas,Rodrigo,,,Poetry,Church ; Prayer,LCSH,http://id.loc.gov/authorities/subjects/sh85025502 ; http://id.loc.gov/authorities/subjects/sh85106113,0202038.pdf,A poem about spirituality and honoring oneself. ,https://doi.org/10.33682/crg2-vtxw,2003,2,2,38,39,Summer-Fall 2003,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Rojas, Rodrigo, Catedrales que Trinan,2003"
Una Resena De La Muerte De Mama De Yvan Silen,spa,,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302080.pdf,spa,,Ruiz,Maria Luisa,,,Essay,Puerto Rican Literature ; Book Reviews,LCSH,http://id.loc.gov/authorities/subjects/sh85108927 ; http://id.loc.gov/authorities/subjects/sh99001470,0302080.pdf,"Review of Iván Silén's novel, La Muerte De Mamá in Spanish",https://doi.org/10.33682/hvfb-0yra,2005,2,3,80,83,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ruiz, Maria Luisa, Una Resena De La Muerte De Mama De Yvan Silen,2005"
Return to Old Lombe,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Return_To_Old_Lombe.pdf,eng,,Vrede,Dorus,,,Essay,Spirituality in literature,LCSH,http://id.loc.gov/authorities/subjects/sh85126781,Return_To_Old_Lombe.pdf,A story about an old man who makes a physical and spiritual journey.,https://doi.org/10.33682/kvk9-9vaw,2001,2,1,1,6,Spring-Summer 2001,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Vrede, Dorus, Return to Old Lombe,2001"
A Palace Of Mourners,eng,,,https://github.com/nyu-dss/calabash/tree/main/data/vol2no1/pdf/A_Palace_of_Mourners.pdf,eng,,Sylvain,Patrick,,,Poetry,Social justice in literature,LCSH,http://id.loc.gov/authorities/subjects/sh94008632,A_Palace_of_Mourners.pdf,A poem about remembering the atrocities committed against one's community.,https://doi.org/10.33682/fwkg-gh7n,2002,1,2,138,139,Fall 2002,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Sylvain, Patrick, A Palace Of Mourners,2002"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,`,,,,,,,,,,,,
